Student Name,Grade,Address,Salary,Temperature °F (2026-07-23)
Alex Smith,88,"2055 Pine Road, Fairview, OR 97858",3420,79.4
Jordan Lee,94,"6805 Sunset Terrace, Fairview, OR 18255",4077,79.4
Taylor Brown,79,"6949 River Road, Georgetown, KY 88963",2916,68.4
Morgan Davis,91,"6752 Pine Road, Franklin, TN 80756",5788,72.9
Casey Wilson,84,"7702 River Road, Springfield, IL 72413",3960,70.4
Riley Johnson,76,"8364 Willow Way, Georgetown, KY 63912",5079,68.4
Cameron Martinez,89,"7299 Highland Ave, Georgetown, KY 83445",4662,68.4
Avery Thompson,95,"9403 Pine Road, Portland, ME 46809",5783,66.0
Quinn Anderson,82,"2171 Meadow Lane, Salem, VA 91386",2477,67.1
Parker Thomas,87,"4049 Oak Street, Madison, WI 86612",4063,68.1
Reese Jackson,73,"2800 Cedar Lane, Bristol, CT 91698",3468,67.1
Skyler White,90,"8122 Sunset Terrace, Bristol, CT 14293",2161,67.1
Rowan Harris,86,"3459 Willow Way, Salem, VA 14540",5287,67.1
Dakota Martin,78,"4389 Birch Court, Salem, VA 26749",5909,67.1
Emerson Garcia,93,"563 Cedar Lane, Fairview, OR 94869",3068,79.4
Finley Clark,81,"9915 Elm Drive, Franklin, TN 45550",3760,72.9
Hayden Lewis,88,"6416 Birch Court, Milton, DE 55005",2659,69.6
Sawyer Robinson,74,"5116 Meadow Lane, Ashland, OH 73822",4285,66.1
Kendall Walker,92,"6089 Elm Drive, Bristol, CT 94126",2051,67.1
Blake Young,85,"7655 Elm Drive, Georgetown, KY 39379",2776,68.4
Jamie Hall,77,"3399 Highland Ave, Georgetown, KY 41356",4785,68.4
Payton Allen,96,"2616 River Road, Bristol, CT 38677",3245,67.1
Drew King,83,"7971 Willow Way, Ashland, OH 98813",2029,66.1
Sydney Wright,89,"2595 Sunset Terrace, Franklin, TN 28280",4574,72.9
Logan Scott,72,"5833 Meadow Lane, Milton, DE 28918",5866,69.6
Harper Green,94,"4789 Elm Drive, Riverside, CA 55859",3123,94.7
Elliot Baker,80,"4862 River Road, Clinton, IA 67042",5101,68.5
Charlie Adams,87,"8590 Oak Street, Madison, WI 53530",3432,68.1
River Nelson,91,"3301 River Road, Georgetown, KY 79077",4060,68.4
Phoenix Carter,75,"636 Sunset Terrace, Fairview, OR 22531",4440,79.4
Sage Mitchell,98,"2023 Lakeview Blvd, Ashland, OH 23024",5478,66.1
Robin Perez,84,"4390 Elm Drive, Portland, ME 28524",5262,66.0
Micah Roberts,79,"7245 Pine Road, Portland, ME 41505",3591,66.0
Noel Turner,86,"9574 Cedar Lane, Riverside, CA 88578",4803,94.7
Tatum Phillips,90,"1650 Maple Ave, Ashland, OH 11932",4927,66.1
Frankie Campbell,82,"7474 River Road, Franklin, TN 71180",3772,72.9
Shawn Parker,88,"9229 Cedar Lane, Fairview, OR 62937",2345,79.4
Corey Evans,71,"7983 Meadow Lane, Georgetown, KY 35292",3131,68.4
Marley Edwards,95,"5719 Sunset Terrace, Madison, WI 69293",3783,68.1
Remy Collins,83,"3210 Lakeview Blvd, Fairview, OR 83099",2198,79.4
Lane Stewart,77,"3686 Elm Drive, Clinton, IA 76279",5702,68.5
Justice Sanchez,92,"6048 Cedar Lane, Ashland, OH 23407",3829,66.1
Ellis Morris,85,"9200 Meadow Lane, Riverside, CA 45720",4352,94.7
Kerry Rogers,80,"1211 River Road, Ashland, OH 36816",3681,66.1
Tristan Reed,89,"570 Birch Court, Salem, VA 71556",4215,67.1
Wren Cook,93,"7296 Elm Drive, Salem, VA 69676",3193,67.1
Lennon Morgan,76,"3352 River Road, Madison, WI 73046",3685,68.1
Arden Bell,87,"8490 Willow Way, Madison, WI 84252",5547,68.1
